[2022-10-27 06:14:26] [info]  [ 4832] Commons Daemon procrun (1.1.0.0 64-bit) started
[2022-10-27 06:14:27] [info]  [ 4832] Running 'HIKCMS' Service...
[2022-10-27 06:14:27] [info]  [ 7052] Starting service...
[2022-10-27 06:14:28] [info]  [ 7052] Service started in 0 ms.
[2022-10-27 06:16:19] [info]  [ 5432] Commons Daemon procrun (1.1.0.0 64-bit) started
[2022-10-27 06:16:20] [info]  [ 5432] Running 'HIKCMS' Service...
[2022-10-27 06:16:20] [info]  [ 7096] Starting service...
[2022-10-27 06:16:20] [info]  [ 7096] Service started in 0 ms.
[2022-10-27 06:17:30] [info]  [ 5012] Commons Daemon procrun (1.1.0.0 64-bit) started
[2022-10-27 06:17:31] [info]  [ 5012] Running 'HIKCMS' Service...
[2022-10-27 06:17:31] [info]  [ 6672] Starting service...
[2022-10-27 06:17:31] [info]  [ 6672] Service started in 0 ms.
[2022-10-27 06:19:29] [info]  [ 5004] Commons Daemon procrun (1.1.0.0 64-bit) started
[2022-10-27 06:19:29] [info]  [ 5004] Running 'HIKCMS' Service...
[2022-10-27 06:19:29] [info]  [ 6636] Starting service...
[2022-10-27 06:19:29] [info]  [ 6636] Service started in 15 ms.
[2022-10-27 06:20:27] [info]  [ 4772] Commons Daemon procrun (1.1.0.0 64-bit) started
[2022-10-27 06:20:27] [info]  [ 4772] Running 'HIKCMS' Service...
[2022-10-27 06:20:27] [info]  [ 5648] Starting service...
[2022-10-27 06:20:28] [info]  [ 5648] Service started in 15 ms.
[2022-10-27 06:24:24] [info]  [ 5108] Commons Daemon procrun (1.1.0.0 64-bit) started
[2022-10-27 06:24:24] [info]  [ 5108] Running 'HIKCMS' Service...
[2022-10-27 06:24:25] [info]  [ 6508] Starting service...
[2022-10-27 06:24:25] [info]  [ 6508] Service started in 15 ms.
[2022-10-27 06:35:23] [info]  [ 4068] Commons Daemon procrun (1.1.0.0 64-bit) started
[2022-10-27 06:35:23] [info]  [ 4068] Running 'HIKCMS' Service...
[2022-10-27 06:35:23] [info]  [ 6104] Starting service...
[2022-10-27 06:35:23] [info]  [ 6104] Service started in 15 ms.
[2022-10-27 06:37:58] [info]  [ 4980] Commons Daemon procrun (1.1.0.0 64-bit) started
[2022-10-27 06:37:59] [info]  [ 4980] Running 'HIKCMS' Service...
[2022-10-27 06:37:59] [info]  [ 6428] Starting service...
[2022-10-27 06:37:59] [info]  [ 6428] Service started in 78 ms.
[2022-10-27 06:40:26] [info]  [ 5620] Commons Daemon procrun (1.1.0.0 64-bit) started
[2022-10-27 06:40:26] [info]  [ 5620] Running 'HIKCMS' Service...
[2022-10-27 06:40:26] [info]  [ 6556] Starting service...
[2022-10-27 06:40:27] [info]  [ 6556] Service started in 62 ms.
[2022-10-27 11:21:28] [info]  [ 5620] Run service finished.
[2022-10-27 11:21:28] [info]  [ 5620] Commons Daemon procrun finished
